soc,soh,battery_temperature,battery_capacity,vehicle_efficiency,ambient_temperature,traffic_conditions,road_elevation,speed,hvac_usage,payload,driving_style,remaining_range
43.708610696262625,81.20922455400095,16.961968199029144,70.61531467149626,6.284890006082719,18.217617572914296,heavy,-23.376542674717136,58.99806873016052,off,113.84191833282392,aggressive,83.56730545990676
95.56428757689245,79.9873628869421,30.859917689787817,72.79741527820094,6.077052403248152,29.450297292939595,moderate,-73.16183841871127,68.9784810483296,low,208.5688406450002,eco,172.60782089577418
75.87945476302646,75.2846173750858,38.06280475728203,69.06110904100704,6.274087822027124,30.930221881209118,light,25.013635683143164,77.62465613505054,off,164.76560646676077,aggressive,144.79807013673454
63.8792635777333,88.21800010304463,12.730843237047594,78.83522064437639,6.032612490834639,15.23629533717214,light,44.29406320022706,33.41508542798495,off,249.14390249337526,moderate,164.12561448082982
24.041677639819287,84.29872481525886,42.123077283669225,72.07041841961376,5.662240810908763,25.490471033630797,light,24.85756126344361,62.19375848112722,high,141.79688258988313,aggressive,44.132488775489676
24.03950683025824,95.9710297697201,23.714489656148704,59.723410268402446,5.4420324158051505,13.275767171966724,light,-7.201578939894848,40.33658635604995,off,163.65832426239453,moderate,65.07929523010354
15.227525095137953,70.96328741446175,15.249786150614858,87.31887849164966,5.868498646355735,39.741166356691124,light,-56.896047558411354,33.39815873059366,medium,138.72369225183496,eco,36.44843258749665
87.95585311974416,89.3160378266538,32.57754780208183,72.14699430755843,5.616861898296522,14.615297093052206,heavy,-31.15357374026035,66.48472975861614,high,150.28408845616576,moderate,136.24793076191543
64.1003510568888,92.88846635534684,20.53545521744952,72.11704537257096,5.940140442684515,16.973343912841454,moderate,22.512087108313686,62.032729798121906,off,177.77827386464907,moderate,167.25875069231174
73.7265320016441,92.7845970756492,24.182633239685057,83.35805846330183,5.754061498256285,12.967859030356458,moderate,-39.50481955917771,69.86782648301087,off,230.92038841869902,moderate,174.32077932909874
11.85260448662222,96.58221901286575,20.95721755787921,68.95874274601242,6.209540506282024,9.003855657379596,moderate,-48.099776487591086,71.59518616540203,high,221.54974205155546,moderate,16.425626007130493
97.29188669457949,91.87101228488483,16.832620681351,80.68302943266583,6.024477512228617,50.50546839090897,light,-72.330468908078,50.35416308408125,medium,189.05201161681705,eco,227.14127229237627
84.91983767203796,97.83430184943089,32.23997032401904,72.0627877828799,6.223747168128624,27.296174034225785,light,26.761736942642578,81.88713721168668,off,96.62970894548874,moderate,249.5519902429448
29.110519961044854,79.97969799462675,22.136985971058127,68.3810227770157,6.22119236163728,21.021307520050108,moderate,25.71010854987552,41.63018716453459,high,131.57523936683484,moderate,48.81534820398291
26.364247048639054,85.09628250254629,10.63348207820754,83.52858880689068,5.9101634781417856,12.85668598238498,light,57.70771419040581,38.88805696504561,medium,179.2234015690063,moderate,61.3638195438994
26.506405886809045,70.42238989848671,30.51060124215933,79.61548473531263,5.9408318275393395,36.6966764040439,light,-107.20453920099635,67.96385159191475,low,110.20443945905737,moderate,44.605311807908286
37.381801866358394,70.20872761909874,12.944176489762446,79.60000492257521,6.25080224416068,11.81539039981605,light,58.59306364457686,64.29380336345228,medium,149.1761702114648,moderate,79.85275330590198
57.228078846901404,77.2037986135456,13.467398273247413,76.83827773394387,7.222969465337062,21.811687861700406,light,55.67381295970315,43.80418071297962,medium,158.02490376753545,eco,159.84093134957496
48.87505167779042,73.02421591417256,36.926062049773165,77.9955081653884,5.505434426532209,53.0442732756173,light,60.43254644318947,43.34496538693131,low,241.01831491941493,eco,86.5311927173688
36.21062261782377,77.8063410380726,13.03660100789788,68.83920987625979,6.02087574399473,5.64120598478603,light,5.980838368306175,67.5976040423702,off,142.13990611932587,moderate,73.82999479092777
65.06676052501416,75.31129883585191,1.835551430725097,75.5580542862233,5.40214582638798,28.093616816737555,heavy,11.089542805970835,65.00364033917354,high,71.33884872148005,aggressive,83.6381395135448
22.554447458683764,70.85560074515945,31.228614849614956,70.35618499774577,5.989543825221045,24.328177683574438,moderate,10.855501151915051,39.235904880040394,low,188.5323013452581,moderate,47.812888749575286
36.29301836816963,97.27912439218149,21.961365705188697,68.05529740468472,5.662969548172813,27.922388931458233,moderate,-45.65019262214835,47.14008874252251,high,202.24412284781823,aggressive,58.0868380195198
42.97256589643225,70.24669394166675,22.823448788618837,77.05476665354016,5.94004679447392,15.726446037728309,moderate,-43.52581458105611,41.78373843557665,low,263.93125453396266,eco,87.34019765580535
51.046298579533236,92.08246433011256,21.854996066498,80.79074777829773,6.077655166973929,11.116163742704513,moderate,11.287321125909372,17.603156399157328,medium,127.99061328502731,moderate,118.65216187147934
80.66583652537122,74.56443660758549,27.316699390187267,73.08315587885969,5.755304443788019,23.39739437941254,moderate,-12.45543025831252,87.28368751836253,high,81.35913640845426,moderate,128.96932806065848
27.970640394252378,97.366888659988,17.47280758096932,73.93993553832729,5.108120661906309,13.1595606464786,heavy,35.80542732758791,64.76878808218727,off,167.63036358794307,moderate,49.52019645976729
